DepartmentDescription,Food,Clothing,Personal,Household,Hobby,Impulse,Eyewear,Electronics,Baby,Child
FINANCIAL SERVICES,,,,,,,,,,
SHOES,,1,,,,,,,,
PERSONAL CARE,,,1,,,,,,,
PAINT AND ACCESSORIES,,,,1,,,,,,
DSD GROCERY,1,,,,,,,,,
MEAT - FRESH & FROZEN,1,,,,,,,,,
DAIRY,1,,,,,,,,,
PETS AND SUPPLIES,,,,,,,,,,
HOUSEHOLD CHEMICALS/SUPP,,,,1,,,,,,
NULL,,,,,,,,,,
IMPULSE MERCHANDISE,,,,,,1,,,,
PRODUCE,1,,,,,,,,,
"CANDY, TOBACCO, COOKIES",1,,,,,,,,,
GROCERY DRY GOODS,1,,,,,,,,,
BOYS WEAR,,1,,,,,,,,1
FABRICS AND CRAFTS,,,,,1,,,,,
JEWELRY AND SUNGLASSES,,,,,1,1,,,,
MENS WEAR,,1,,,,,,,,
ACCESSORIES,,,,,1,1,,,,
HOME MANAGEMENT,,,,1,,,,,,
FROZEN FOODS,1,,,,,,,,,
SERVICE DELI,1,,,,,,,,,
INFANT CONSUMABLE HARDLINES,1,,,,,,,,,
PRE PACKED DELI,1,,,,,,,,,
COOK AND DINE,,,,1,,,,,,
PHARMACY OTC,,,1,,,,,,,
LADIESWEAR,,1,,,,,,,,
COMM BREAD,1,,,,,,,,,
BAKERY,1,,,,,,,,,
HOUSEHOLD PAPER GOODS,,,,1,,,,,,
CELEBRATION,,,,1,,,,,,
HARDWARE,,,,1,,,,,,
BEAUTY,,,1,,,,,,,
AUTOMOTIVE,,,,,,,,,,
BOOKS AND MAGAZINES,,,,,1,1,,,,
SEAFOOD,1,,,,,,,,,
OFFICE SUPPLIES,,,,1,,,,,,
LAWN AND GARDEN,,,,1,,,,,,
SHEER HOSIERY,,1,,,,,,,,
WIRELESS,,,,,,,,1,,
BEDDING,,,,1,,,,,,
BATH AND SHOWER,,,,1,,,,,,
HORTICULTURE AND ACCESS,,,,1,,,,,,
HOME DECOR,,,,1,,,,,,
TOYS,,,,,1,,,,,1
INFANT APPAREL,,1,,,,,,,1,
LADIES SOCKS,,1,,,,,,,,
PLUS AND MATERNITY,,1,,,,,,,,
ELECTRONICS,,,,,,,,1,,
"GIRLS WEAR, 4-6X  AND 7-14",,1,,,,,,,,1
BRAS & SHAPEWEAR,,1,,,,,,,,
"LIQUOR,WINE,BEER",1,,,,,,,,,
SLEEPWEAR/FOUNDATIONS,,1,,,,,,,,
CAMERAS AND SUPPLIES,,,,,1,,,,,
SPORTING GOODS,,,,,1,,,,,
PLAYERS AND ELECTRONICS,,,,,1,,,1,,
PHARMACY RX,,,1,,,,,,,
MENSWEAR,,1,,,,,,,,
OPTICAL - FRAMES,,,,,,,1,,,
SWIMWEAR/OUTERWEAR,,1,,,,,,,,
OTHER DEPARTMENTS,,,,,,,,,,
MEDIA AND GAMING,,,,,1,,,,,
FURNITURE,,,,1,,,,,,
OPTICAL - LENSES,,,,,,,1,,,
SEASONAL,,,,,,,,,,
LARGE HOUSEHOLD GOODS,,,,1,,,,,,
1-HR PHOTO,,,,,1,,,,,
CONCEPT STORES,,,,,,,,,,
HEALTH AND BEAUTY AIDS,,,1,,,,,,,
